entry_date,ticker,symbol,side,qty,strategy,expiration,entry_price,exit_price,iv,trend,momentum,price,days_to_exp,pl,order_count
2025-02-03,SPY,SPY250207C00598000,buy,1.0,LongCall,2025-02-07,3.01,3.02,0.13531248002475388,bullish,negative,597.77,4.0,1.000000000000023,
2025-02-03,SPY,,,,LongCall,,,,,,,,,,1.0
2025-02-04,SPY,SPY250207C00602000,buy,1.0,LongCall,2025-02-07,2.8,0.01,0.1358353601939538,bullish,positive,601.78,3.0,-279.0,
2025-02-04,SPY,,,,LongCall,,,,,,,,,,1.0
2025-02-05,SPY,SPY250207C00604000,buy,1.0,LongCall,2025-02-07,2.01,0.01,0.1286761637992787,bullish,positive,604.22,2.0,-199.99999999999997,
2025-02-05,SPY,,,,LongCall,,,,,,,,,,1.0
2025-02-06,SPY,SPY250207C00606000,buy,1.0,LongCall,2025-02-07,2.39,0.01,0.12889058489001004,bullish,positive,606.32,1.0,-238.00000000000003,
2025-02-06,SPY,,,,LongCall,,,,,,,,,,1.0
2025-02-07,SPY,SPY250214C00601000,buy,1.0,LongCall,2025-02-14,8.86,8.8,0.11968668099508518,bullish,negative,600.77,7.0,-5.999999999999872,
2025-02-07,SPY,,,,LongCall,,,,,,,,,,1.0
2025-02-10,SPY,SPY250214C00605000,buy,1.0,LongCall,2025-02-14,3.47,4.71,0.120960436549998,bullish,positive,604.85,4.0,123.99999999999997,
2025-02-10,SPY,,,,LongCall,,,,,,,,,,1.0
2025-02-11,SPY,SPY250214C00605000,buy,1.0,LongCall,2025-02-14,2.66,4.71,0.12102771314698434,bullish,positive,605.31,3.0,204.99999999999997,
2025-02-11,SPY,,,,LongCall,,,,,,,,,,1.0
2025-02-12,SPY,SPY250214C00603000,buy,1.0,LongCall,2025-02-14,1.42,6.65,0.10637721506662973,bullish,negative,603.36,2.0,523.0,
2025-02-12,SPY,,,,LongCall,,,,,,,,,,1.0
2025-02-13,SPY,SPY250214C00610000,buy,1.0,LongCall,2025-02-14,0.34,0.02,0.110973438195441,bullish,positive,609.73,1.0,-32.0,
